user_id,rec_user_id,resolution,spath
65661240,108124544,0,2
20896130,851178,0,3
67676988,101230855,0,5
21555833,32662951,0,5
59354377,24853026,0,0
MBK6520990,2077134,0,0
31716238,29279409,0,3
MBK8343377,92676380,0,0
13472330,79097825,0,5
MBK8531293,104160021,0,3
20829926,109585912,0,0
28777800,63365276,0,0
62813801,38531651,0,0
33267527,26504187,0,5
104616025,VSP4671223,0,3
43708187,VSP17693156,0,5
1708491,40890663,0,4
23191955,19034718,0,3
CRM26591426,106187773,0,6
7002241,7002241,0,1
17668988,24904408,0,5
48544779,48274704,0,0
77474591,109054820,0,0
76665611,53184988,0,0
VSP27547892,MBK14364033,0,4
65824402,27484229,0,7
64963417,35647446,0,0
64963417,35647446,0,0
22191400,55919666,0,3
89759595,56126845,0,0
63889116,74761296,0,3
95313826,83887579,0,4
MBK12970874,35163832,0,4
17133962,12393639,0,6
48466221,109517409,0,0
CRM26591426,106629859,0,0
2563370,47981134,0,3
MBK9541717,57639,0,6
73212799,87967522,0,0
37654609,12399803,0,3
CRM26591426,65459022,0,6
88425131,73989260,0,0
50056933,20096773,0,0
12305584,46167075,0,0
60577755,48032377,0,0
2563370,47981134,0,3
CRM26591426,30875160,0,5
CRM26591426,10990203,0,5
66092478,81934462,0,0
31403295,6569419,0,4
84477360,104483419,0,0
42630435,85251659,0,6
19574278,3724091,0,0
10011725,22283115,0,5
38540672,84144895,0,0
45214467,82484755,0,0
137285,55935672,0,0
MBK8803068,58131619,0,2
57545574,9482333,0,7
97431194,85468836,0,0
52263955,MBK13757195,0,0
13899168,VSP16005813,0,0
17220797,89028138,0,0
16727783,21688377,0,6
55342369,74575634,0,0
10975627,28561049,0,5
MBK7909618,MBK10317945,0,0
36854875,109222679,1,0
77474591,88622717,0,0
24498643,43955420,0,2
108978167,56157423,0,5
45470563,5402523,0,2
66546596,42911492,0,0
10806825,16098992,0,0
30005774,82340235,0,0
18358472,1398619,0,0
43977451,78699560,0,0
CRM29007518,55935672,0,0
VSP9942679,55460298,0,6
35854555,109487502,0,7
30928772,81934462,0,6
MBK11848126,5968841,0,0
66546596,42911492,0,0
59152199,38473221,0,4
32049857,87070578,0,3
47981134,2563370,0,3
79750639,MBK6226338,0,0
5965070,3136251,0,0
21201186,81153840,0,0
15646601,109334907,0,0
58391761,48032377,0,0
26248080,99115893,0,3
5454018,60690933,0,3
56726614,89605604,0,0
108024811,45605381,0,5
47753239,MBK7477909,0,5
23691500,50580049,0,6
66554715,85547277,0,0
81376812,115728,0,6
50987882,52359489,0,5
93287164,MBK11790172,0,0
4017253,78634784,0,0
MBK6048165,79340996,0,3
14415344,88936162,0,6
76072332,105167962,0,4
60561884,46276091,0,2
45628192,12869645,0,4
106870821,MBK15153438,0,3
38953466,39783172,0,5
103053898,68492746,0,3
57859827,76473532,0,0
99134315,67127186,0,2
78579367,70616606,0,4
34449475,88936162,0,5
103816860,38113776,0,5
5199654,30464563,0,0
96508423,90559185,0,5
8500736,53033819,0,0
34380014,15654402,0,0
20801566,MBK8728676,0,0
3410167,99116569,0,0
23490907,MBK7763827,0,2
34449475,88936162,0,5
109093558,63978166,0,0
87315530,22205973,0,3
33367936,4028593,0,0
57264169,67351717,0,0
5867740,23619346,0,4
77003423,28463426,0,0
MBK28982387,68377903,0,0
75482495,105947046,0,6
MBK7963189,66933712,0,5
15012326,77906763,0,5
69605779,MBK12271640,0,6
2410174,32155828,0,3
61225706,86432746,0,0
17741901,63079494,0,3
35672772,79508145,0,6
84933783,1330917,0,0
102598805,62415568,0,2
77849394,26826849,0,0
MBK5362729,15195252,0,0
MBK15299008,42725537,0,4
108435978,87583608,0,0
21467729,36581236,0,0
6291428,32591962,0,0
97013159,66771648,0,4
56091149,14802151,0,5
76579852,2864930,0,5
7237163,99088949,0,3
MBK6091805,26093443,0,6
231321,97758369,0,5
44907465,24219945,0,5
24613475,VSP1674514,0,5
MBK14527112,23253882,0,0
94069418,60507589,0,4
MBK16056733,81934462,0,8
34783155,4217193,0,5
MBK19299974,50015421,0,3
44907465,24219945,0,5
13284188,36020552,0,5
45055544,987991,0,2
88279319,VSP13825614,0,3
30018739,MBK9972162,0,0
20117710,35179240,0,0
20117710,35179240,0,0
43038912,41458467,0,0
36653864,91973922,0,5
MBK8802995,12489109,0,0
14347933,35518269,0,5
VSP1306796,102868696,0,2
